http://www.nist.gov/pml/data/comp.cfm

Isotope: Atomic number, Symbol, and Mass number

NB: I had to add a '0.0()' in the third column of the first line for elements
beyond He, as well as a () after the fractions that were 1.0000, in order
to conform to my reading statement. BPz 12/06-2012 

Isotope      Atomic Mass        Composition   Atomic Weight    Notes     
_________________________________________________________________________
        21   21.011713(18)                  
        22   21.9995738(14)                 
        23   22.9941237(14)                 
        24   23.985041700(14)   0.7899(4)   
        25   24.98583692(3)     0.1000(1)   
        26   25.982592929(30)   0.1101(3)   
        27   26.98434059(5)                 
        28   27.9838768(22)                 
        29   28.988600(15)                  
        30   29.990434(9)                   
        31   30.996546(13)                  
        32   31.998975(19)                  
        33   33.005254(21)                  
        34   34.00946(25)                   
        35   35.01734(43)#                  
        36   36.02300(54)#                  
        37   37.03140(97)#                  
        38   38.03757(54)#                  
        39   39.04677(55)#                  
        40   40.05393(97)#                  
_________________________________________________________________________
13  Al  21   21.02804(32)#      0.0()         26.9815386(8)     
        22   22.01952(10)#                  
        23   23.007267(20)                  
        24   23.9999389(30)                 
        25   24.9904281(5)                  
        26   25.98689169(6)                 
        27   26.98153863(12)    1.0000()
        28   27.98191031(14)                
        29   28.9804450(13)                 
        30   29.982960(15)                  
        31   30.983947(22)                  
        32   31.988120(90)                  
        33   32.990840(80)                  
        34   33.99685(12)                   
        35   34.99986(19)                   
        36   36.00621(23)                   
        37   37.01068(36)                   
        38   38.01723(78)                   
        39   39.02297(158)                  
        40   40.03145(75)#                  
        41   41.03833(86)#                  
        42   42.04689(97)#                  
_________________________________________________________________________
14  Si  22   22.03453(22)#      0.0()         28.0855(3)       r
        23   23.02552(21)#                  
        24   24.011546(21)                  
        25   25.004106(11)                  
        26   25.992330(3)                   
        27   26.98670491(16)                
        28   27.9769265325(19)  0.92223(19) 
        29   28.976494700(22)   0.04685(8)  
        30   29.97377017(3)     0.03092(11) 
        31   30.97536323(4)                 
        32   31.97414808(5)                 
        33   32.978000(17)                  
        34   33.978576(15)                  
        35   34.984580(40)                  
        36   35.98660(13)                   
        37   36.99294(18)                   
        38   37.99563(15)                   
        39   39.00207(36)                   
        40   40.00587(60)                   
        41   41.01456(198)                  
        42   42.01979(54)#                  
        43   43.02866(75)#                  
        44   44.03526(86)#                  
_________________________________________________________________________
15  P   24   24.03435(54)#      0.0()         30.973762(2)      
        25   25.02026(21)#                  
        26   26.01178(21)#                  
        27   26.999230(28)                  
        28   27.992315(4)                   
        29   28.9818006(6)                  
        30   29.9783138(3)                  
        31   30.97376163(20)    1.0000()    
        32   31.97390727(20)                
        33   32.9717255(12)                 
        34   33.973636(5)                   
        35   34.9733141(20)                 
        36   35.978260(14)                  
        37   36.979610(40)                  
        38   37.98416(11)                   
        39   38.98618(11)                   
        40   39.99130(15)                   
        41   40.99434(23)                   
        42   42.00101(48)                   
        43   43.00619(104)                  
        44   44.01299(75)#                  
        45   45.01922(86)#                  
        46   46.02738(97)#                  
_________________________________________________________________________
16  S   26   26.02788(32)#      0.0()         32.065(5)        g,r
        27   27.01883(22)#                  
        28   28.00437(17)                   
        29   28.996610(50)                  
        30   29.984903(3)                   
        31   30.9795547(16)                 
        32   31.97207100(15)    0.9499(26)  
        33   32.97145876(15)    0.0075(2)   
        34   33.96786690(12)    0.0425(24)  
        35   34.96903216(11)                
        36   35.96708076(20)    0.0001(1)   
        37   36.97112557(21)                
        38   37.971163(8)                   
        39   38.975130(50)                  
        40   39.97545(15)                   
        41   40.97958(13)                   
        42   41.98102(13)                   
        43   42.98715(22)                   
        44   43.99021(42)                   
        45   44.99651(187)                  
        46   46.00075(75)#                  
        47   47.00859(86)#                  
        48   48.01417(97)#                  
        49   49.02362(102)#                 
_________________________________________________________________________
17  Cl  28   28.02851(54)#      0.0()         35.453(2)        m
        29   29.01411(21)#                  
        30   30.00477(21)#                  
        31   30.992410(50)                  
        32   31.985690(7)                   
        33   32.9774519(5)                  
        34   33.97376282(19)                
        35   34.96885268(4)     0.7576(10)  
        36   35.96830698(8)                 
        37   36.96590259(5)     0.2424(10)  
        38   37.96801043(10)                
        39   38.9680082(19)                 
        40   39.970420(30)                  
        41   40.970680(70)                  
        42   41.97325(15)                   
        43   42.97405(17)                   
        44   43.97828(12)                   
        45   44.98029(13)                   
        46   45.98421(77)                   
        47   46.98871(64)#                  
        48   47.99495(75)#                  
        49   49.00032(86)#                  
        50   50.00784(97)#                  
        51   51.01449(107)#                 
_________________________________________________________________________
18  Ar  30   30.02156(32)#      0.0()         39.948(1)        g,r,a
        31   31.01212(22)#                  
        32   31.9976380(19)                 
        33   32.9899257(5)                  
        34   33.9802712(4)                  
        35   34.9752576(8)                  
        36   35.967545106(29)   0.003365(30)
        37   36.96677632(22)                
        38   37.9627324(4)      0.000632(5) 
        39   38.964313(5)                   
        40   39.9623831225(29)  0.996003(30)
        41   40.9645006(4)                  
        42   41.963046(6)                   
        43   42.965636(6)                   
        44   43.9649240(17)                 
        45   44.9680400(6)                  
        46   45.968090(40)                  
        47   46.97219(11)                   
        48   47.97454(32)#                  
        49   48.98052(54)#                  
        50   49.98443(75)#                  
        51   50.99163(75)#                  
        52   51.99678(97)#                  
        53   53.00494(107)#                 
_________________________________________________________________________
19  K   32   32.02192(54)#      0.0()         39.0983(1)       g
        33   33.00726(21)#                  
        34   33.99841(32)#                  
        35   34.988010(21)                  
        36   35.981292(8)                   
        37   36.97337589(10)                
        38   37.9690812(5)                  
        39   38.96370668(20)    0.932581(44)
        40   39.96399848(21)    0.000117(1) 
        41   40.96182576(21)    0.067302(44)
        42   41.96240281(24)                
        43   42.960716(10)                  
        44   43.961560(40)                  
        45   44.960699(11)                  
        46   45.961977(17)                  
        47   46.961678(9)                   
        48   47.965514(26)                  
        49   48.967450(80)                  
        50   49.97278(30)                   
        51   50.97638(54)#                  
        52   51.98261(75)#                  
        53   52.98712(75)#                  
        54   53.99420(97)#                  
        55   54.99971(107)#                 
_________________________________________________________________________
20  Ca  34   34.01412(32)#      0.0()         40.078(4)        g,f
        35   35.00494(21)#                  
        36   35.993090(40)                  
        37   36.985870(24)                  
        38   37.976318(5)                   
        39   38.9707197(20)                 
        40   39.96259098(22)    0.96941(156)
        41   40.96227806(26)                
        42   41.95861801(27)    0.00647(23) 
        43   42.9587666(3)      0.00135(10) 
        44   43.9554818(4)      0.02086(110)
        45   44.9561866(4)                  
        46   45.9536926(24)     0.00004(3)  
        47   46.9545460(24)                 
        48   47.952534(4)       0.00187(21) 
        49   48.955674(4)                   
        50   49.957519(10)                  
        51   50.96150(10)                   
        52   51.96510(75)                   
        53   52.97005(54)#                  
        54   53.97435(75)#                  
        55   54.98055(75)#                  
        56   55.98557(97)#                  
        57   56.99236(107)#                 
_________________________________________________________________________
21  Sc  36   36.01492(54)#      0.0()         44.955912(6)      
        37   37.00305(32)#                  
        38   37.99470(32)#                  
        39   38.984790(26)                  
        40   39.977967(3)                   
        41   40.96925113(24)                
