'H2H2      ' Data fetched at http://www.astro.ku.dk/~aborysow/programs/
1000         Ref: Borysow A., Jorgensen U.G., Fu Y. 2001, JQSRT 68, 235
7            Opacity units: cm-1/amagat**2. Mult by 1.38529e-39*n(H2)**2/rho to get cm2/g * matter
                1000.	     2000.      3000.       4000.        5000.       6000.       7000.
   freq(cm-1)   1000K	     2000K      3000K       4000K        5000K       6000K       7000K
   ==============================================================================================
     860.00    0.3975E-05  0.3679E-05  0.3441E-05  0.3760E-05  0.4314E-05  0.4899E-05  0.5467E-05
     880.00    0.4107E-05  0.3838E-05  0.3588E-05  0.3918E-05  0.4492E-05  0.5100E-05  0.5689E-05
     900.00    0.4247E-05  0.4000E-05  0.3737E-05  0.4079E-05  0.4675E-05  0.5305E-05  0.5914E-05
     920.00    0.4396E-05  0.4165E-05  0.3892E-05  0.4249E-05  0.4863E-05  0.5516E-05  0.6144E-05
     940.00    0.4553E-05  0.4333E-05  0.4046E-05  0.4418E-05  0.5053E-05  0.5727E-05  0.6379E-05
     960.00    0.4713E-05  0.4502E-05  0.4206E-05  0.4590E-05  0.5245E-05  0.5945E-05  0.6617E-05
     980.00    0.4872E-05  0.4670E-05  0.4369E-05  0.4765E-05  0.5445E-05  0.6166E-05  0.6860E-05
    1000.00    0.5021E-05  0.4843E-05  0.4587E-05  0.4946E-05  0.5646E-05  0.6392E-05  0.7107E-05
    1020.00    0.5143E-05  0.5006E-05  0.4755E-05  0.5132E-05  0.5850E-05  0.6622E-05  0.7357E-05
    1040.00    0.5241E-05  0.5167E-05  0.4925E-05  0.5315E-05  0.6060E-05  0.6853E-05  0.7614E-05
    1060.00    0.5321E-05  0.5325E-05  0.5097E-05  0.5503E-05  0.6273E-05  0.7095E-05  0.7874E-05
    1080.00    0.5361E-05  0.5478E-05  0.5272E-05  0.5698E-05  0.6491E-05  0.7335E-05  0.8140E-05
    1100.00    0.5365E-05  0.5621E-05  0.5444E-05  0.5892E-05  0.6713E-05  0.7582E-05  0.8408E-05
    1120.00    0.5343E-05  0.5765E-05  0.5615E-05  0.6088E-05  0.6937E-05  0.7834E-05  0.8684E-05
    1140.00    0.5302E-05  0.5898E-05  0.5791E-05  0.6294E-05  0.7165E-05  0.8089E-05  0.8963E-05
    1160.00    0.5248E-05  0.6027E-05  0.5969E-05  0.6495E-05  0.7396E-05  0.8351E-05  0.9247E-05
    1180.00    0.5184E-05  0.6162E-05  0.6145E-05  0.6703E-05  0.7633E-05  0.8616E-05  0.9539E-05
    1200.00    0.5116E-05  0.6291E-05  0.6323E-05  0.6913E-05  0.7869E-05  0.8885E-05  0.9834E-05
    1220.00    0.5046E-05  0.6415E-05  0.6503E-05  0.7126E-05  0.8115E-05  0.9159E-05  0.1013E-04
    1240.00    0.4974E-05  0.6533E-05  0.6684E-05  0.7341E-05  0.8364E-05  0.9440E-05  0.1044E-04
    1260.00    0.4908E-05  0.6664E-05  0.6867E-05  0.7558E-05  0.8616E-05  0.9721E-05  0.1075E-04
    1280.00    0.4845E-05  0.6782E-05  0.7051E-05  0.7778E-05  0.8871E-05  0.1001E-04  0.1107E-04
    1300.00    0.4781E-05  0.6901E-05  0.7233E-05  0.8000E-05  0.9131E-05  0.1031E-04  0.1139E-04
    1320.00    0.4721E-05  0.7020E-05  0.7420E-05  0.8225E-05  0.9392E-05  0.1060E-04  0.1172E-04
    1340.00    0.4664E-05  0.7139E-05  0.7605E-05  0.8456E-05  0.9659E-05  0.1091E-04  0.1205E-04
    1360.00    0.4611E-05  0.7252E-05  0.7786E-05  0.8681E-05  0.9926E-05  0.1121E-04  0.1239E-04
    1380.00    0.4562E-05  0.7358E-05  0.7968E-05  0.8913E-05  0.1020E-04  0.1153E-04  0.1273E-04
    1400.00    0.4512E-05  0.7458E-05  0.8152E-05  0.9143E-05  0.1047E-04  0.1184E-04  0.1309E-04
