'H2He      ' Data fetched at http://www.astro.ku.dk/~aborysow/programs/
242          Ref: Jorgensen U.G., Hammer D., Borysow A., Falkesgaard J., 2000, Astronomy & Astrophysics 361, 283
7            Opacity units: cm-1/amagat**2. Mult by 1.38529e-39*n(H2)*n(HeI)/rho to get cm2/g * matter
         1000.      2000.        3000.        4000.        5000.        6000.        7000.
 (cm^-1) 1000K      2000K        3000K        4000K        5000K        6000K        7000K
================================================================================================
 1800 0.845006E-06 0.305961E-05 0.550571E-05 0.831526E-05 0.115554E-04 0.164833E-04 0.217851E-04
 1880 0.708914E-06 0.287661E-05 0.535240E-05 0.820532E-05 0.115231E-04 0.166171E-04 0.221177E-04
 1960 0.587293E-06 0.268890E-05 0.519820E-05 0.810638E-05 0.115147E-04 0.167856E-04 0.224895E-04
 2040 0.481985E-06 0.250062E-05 0.504326E-05 0.801813E-05 0.115319E-04 0.169920E-04 0.229044E-04
 2120 0.392365E-06 0.231309E-05 0.488566E-05 0.793869E-05 0.115743E-04 0.172376E-04 0.233638E-04
 2200 0.319134E-06 0.213290E-05 0.472879E-05 0.786982E-05 0.116438E-04 0.175236E-04 0.238677E-04
 2280 0.260030E-06 0.196003E-05 0.457131E-05 0.781016E-05 0.117393E-04 0.178479E-04 0.244123E-04
 2360 0.213874E-06 0.179800E-05 0.441553E-05 0.776102E-05 0.118611E-04 0.182085E-04 0.249931E-04
 2440 0.179238E-06 0.165046E-05 0.426598E-05 0.772603E-05 0.120108E-04 0.186034E-04 0.256044E-04
 2520 0.154670E-06 0.152093E-05 0.412881E-05 0.771076E-05 0.121908E-04 0.190289E-04 0.262378E-04
 2600 0.138795E-06 0.141196E-05 0.401073E-05 0.772190E-05 0.124040E-04 0.194817E-04 0.268848E-04
 2680 0.131015E-06 0.132808E-05 0.392294E-05 0.777053E-05 0.126559E-04 0.199595E-04 0.275372E-04
 2760 0.130978E-06 0.127324E-05 0.387701E-05 0.786762E-05 0.129502E-04 0.204567E-04 0.281829E-04
 2840 0.138616E-06 0.125076E-05 0.388472E-05 0.802476E-05 0.132911E-04 0.209704E-04 0.288136E-04
 2920 0.154660E-06 0.126613E-05 0.395976E-05 0.825390E-05 0.136822E-04 0.214964E-04 0.294202E-04
 3000 0.179471E-06 0.132584E-05 0.411606E-05 0.856563E-05 0.141252E-04 0.220294E-04 0.299936E-04
 3080 0.213364E-06 0.143824E-05 0.436675E-05 0.896704E-05 0.146189E-04 0.225629E-04 0.305257E-04
 3160 0.260099E-06 0.161524E-05 0.472309E-05 0.946015E-05 0.151579E-04 0.230891E-04 0.310094E-04
 3240 0.324175E-06 0.187020E-05 0.519189E-05 0.100389E-04 0.157296E-04 0.235944E-04 0.314336E-04
 3320 0.414313E-06 0.221801E-05 0.577219E-05 0.106873E-04 0.163148E-04 0.240640E-04 0.317895E-04
 3400 0.544447E-06 0.267395E-05 0.645460E-05 0.113819E-04 0.168910E-04 0.244839E-04 0.320716E-04
 3480 0.732522E-06 0.325115E-05 0.722204E-05 0.120953E-04 0.174355E-04 0.248410E-04 0.322740E-04
 3560 0.100157E-05 0.394960E-05 0.804185E-05 0.127939E-04 0.179265E-04 0.251248E-04 0.323938E-04
 3640 0.138657E-05 0.475418E-05 0.887251E-05 0.134461E-04 0.183494E-04 0.253329E-04 0.324365E-04
 3720 0.192924E-05 0.563691E-05 0.967853E-05 0.140324E-04 0.186975E-04 0.254663E-04 0.324067E-04
 3800 0.262538E-05 0.652301E-05 0.104153E-04 0.145379E-04 0.189720E-04 0.255318E-04 0.323129E-04
 3880 0.338232E-05 0.729339E-05 0.110231E-04 0.149375E-04 0.191638E-04 0.255279E-04 0.321582E-04
 3960 0.409747E-05 0.790824E-05 0.114947E-04 0.152282E-04 0.192701E-04 0.254513E-04 0.319402E-04
 4040 0.473255E-05 0.840763E-05 0.118650E-04 0.154271E-04 0.192974E-04 0.253025E-04 0.316569E-04
 4120 0.524404E-05 0.880251E-05 0.121307E-04 0.155246E-04 0.192371E-04 0.250768E-04 0.313077E-04
 4200 0.555281E-05 0.903178E-05 0.122298E-04 0.154684E-04 0.190500E-04 0.247468E-04 0.308731E-04
 4280 0.563228E-05 0.907878E-05 0.121405E-04 0.152419E-04 0.187260E-04 0.243063E-04 0.303499E-04
 4360 0.545841E-05 0.889864E-05 0.118460E-04 0.148472E-04 0.182739E-04 0.237660E-04 0.297472E-04
 4440 0.500633E-05 0.842316E-05 0.113123E-04 0.142745E-04 0.176951E-04 0.231328E-04 0.290739E-04
 4520 0.431086E-05 0.767420E-05 0.105703E-04 0.135552E-04 0.170175E-04 0.224286E-04 0.283460E-04
 4600 0.362548E-05 0.685797E-05 0.975798E-05 0.127818E-04 0.163036E-04 0.216968E-04 0.275946E-04
 4680 0.306503E-05 0.609144E-05 0.896018E-05 0.120141E-04 0.155950E-04 0.209670E-04 0.268396E-04
 4760 0.263840E-05 0.541639E-05 0.821859E-05 0.112862E-04 0.149171E-04 0.202595E-04 0.260970E-04
 4840 0.231032E-05 0.484307E-05 0.755624E-05 0.106211E-04 0.142887E-04 0.195898E-04 0.253787E-04
 4920 0.205885E-05 0.437217E-05 0.698272E-05 0.100289E-04 0.137178E-04 0.189644E-04 0.246900E-04
 5000 0.186637E-05 0.399070E-05 0.649630E-05 0.951285E-05 0.132080E-04 0.183860E-04 0.240319E-04
 5080 0.170484E-05 0.368106E-05 0.608892E-05 0.906868E-05 0.127550E-04 0.178499E-04 0.233995E-04
 5160 0.156149E-05 0.342835E-05 0.574866E-05 0.868652E-05 0.123498E-04 0.173479E-04 0.227859E-04
 5240 0.142216E-05 0.321488E-05 0.546108E-05 0.835533E-05 0.119839E-04 0.168738E-04 0.221868E-04
 5320 0.128048E-05 0.302820E-05 0.521527E-05 0.806511E-05 0.116475E-04 0.164179E-04 0.215935E-04
 5400 0.113822E-05 0.285637E-05 0.499697E-05 0.780084E-05 0.113256E-04 0.159658E-04 0.209931E-04
 5480 0.996857E-06 0.268812E-05 0.479095E-05 0.754666E-05 0.110037E-04 0.155061E-04 0.203777E-04
 5560 0.859437E-06 0.251968E-05 0.459013E-05 0.729548E-05 0.106767E-04 0.150356E-04 0.197465E-04
 5640 0.727177E-06 0.234707E-05 0.438815E-05 0.704095E-05 0.103392E-04 0.145500E-04 0.190964E-04
 5720 0.605344E-06 0.216951E-05 0.417897E-05 0.677561E-05 0.998422E-05 0.140437E-04 0.184232E-04
 5800 0.495317E-06 0.198499E-05 0.395597E-05 0.649141E-05 0.960479E-05 0.135113E-04 0.177238E-04
 5880 0.399098E-06 0.179649E-05 0.371911E-05 0.618743E-05 0.920148E-05 0.129556E-04 0.170030E-04
 5960 0.317147E-06 0.160729E-05 0.346900E-05 0.586300E-05 0.877411E-05 0.123774E-04 0.162631E-04
 6040 0.249831E-06 0.142184E-05 0.320812E-05 0.551918E-05 0.832328E-05 0.117774E-04 0.155049E-04
 6120 0.195258E-06 0.124199E-05 0.293798E-05 0.515671E-05 0.784943E-05 0.111557E-04 0.147290E-04
 6200 0.152029E-06 0.107281E-05 0.266582E-05 0.478380E-05 0.736170E-05 0.105222E-04 0.139452E-04
 6280 0.118432E-06 0.917493E-06 0.239701E-05 0.440676E-05 0.686735E-05 0.988456E-05 0.131617E-04
 6360 0.925852E-07 0.777979E-06 0.213677E-05 0.403114E-05 0.637153E-05 0.924742E-05 0.123824E-04
 6440 0.727985E-07 0.655150E-06 0.188924E-05 0.366127E-05 0.587768E-05 0.861330E-05 0.116095E-04
 6520 0.576652E-07 0.549289E-06 0.165936E-05 0.330452E-05 0.539379E-05 0.798987E-05 0.108500E-04
 6600 0.460376E-07 0.459328E-06 0.145042E-05 0.296823E-05 0.492958E-05 0.738759E-05 0.101144E-04
 6680 0.370741E-07 0.383994E-06 0.126405E-05 0.265707E-05 0.449149E-05 0.681355E-05 0.940961E-05
 6760 0.302394E-07 0.321697E-06 0.109998E-05 0.237280E-05 0.408278E-05 0.627176E-05 0.873990E-05
 6840 0.251073E-07 0.270781E-06 0.957269E-06 0.211612E-05 0.370553E-05 0.576507E-05 0.810839E-05
 6920 0.212666E-07 0.229374E-06 0.834084E-06 0.188634E-05 0.336022E-05 0.529474E-05 0.751670E-05
 7000 0.183372E-07 0.195777E-06 0.728291E-06 0.168190E-05 0.304608E-05 0.486062E-05 0.696516E-05
 7080 0.161148E-07 0.168662E-06 0.637929E-06 0.150111E-05 0.276208E-05 0.446224E-05 0.645360E-05
 7160 0.144325E-07 0.146772E-06 0.560847E-06 0.134172E-05 0.250622E-05 0.409797E-05 0.598076E-05
 7240 0.133863E-07 0.129361E-06 0.495322E-06 0.120161E-05 0.227646E-05 0.376591E-05 0.554485E-05
 7320 0.129871E-07 0.115710E-06 0.439813E-06 0.107889E-05 0.207088E-05 0.346420E-05 0.514422E-05
