# dumb      molec. code     name             IP   npart  coeff(1:npart) 
# produced from polyatomic_merge.srt of Irwin, after removal of all Sauval and
# Tatum species. BPz 21/08-1996
# log(Q) = sum_0^npart-1 ai log(T)^i
#
###################################################
# Partition fct for Rb Mo+ Pr Pr+ Nd Nd+ Gd Tb Tb+ Dy Dy+ Ho+ Er Er+ Yb Lu+ 
# changed to those by Sneden/Lawler (according to MOOG) by VHI 03/07-2007
###################################################
# Ionisation potential updated from NIST for Y, Nb, Ho, Hf, Ir, Th (largest changes Th: 6.08->6.307; Hf:7.018->6.825) by VHI 03/07-2007
###################################################
# Ionisation pot Os changed following Colarusso 1997 (old=8.74eV) by VHi 18/01-2002
###################################################
# ThII and ThIII partition functions changed by BPz 15/09-2000.
# Irwin had: 
#    277             90.01 '              th+'  6.08    6   -5.54692278D+02  2.40410297D+02 -3.64787941D+01  1.98655925D+00  1.30338683D-02 -3.13351582D-03
#    278             90.02 '             th++' 11.531   6    7.10076650D+03 -4.15762991D+03  9.69365844D+02 -1.12510812D+02  6.50161887D+00 -1.49626283D-01
# I fit a polynomial through Morell et al. 3 values:
#   277             90.01 '              th+'  6.08    6   -12.32966d0      1.869584d0  0.0 0.0 0.0 0.0
#   278             90.02 '             th++' 11.531   6    -7.775563d0     1.739154d0     -4.3311156D-02 0.0 0.0 0.0
# changed to a fit of Holweger partition function between 1000 and 16000K. BPz 20/09-2000
# Holweger's partition function is now hardcoded in partf.f 
#
###################################################
# Note that partf.f replaces UII and UIII partition functions by direct summation of the energy 
# levels (hardcoded in partf.f BPz 20/09-2000
###################################################
    34             10.01 '              ne+' 21.565   6    4.24370369D+01 -2.54522643D+01  6.16021294D+00 -7.30334327D-01  4.27298061D-02 -9.91258327D-04
    35             10.02 '             ne++' 40.963   6    1.61133431D+01 -7.89461982D+00  1.43805082D+00 -8.81795471D-02 -1.09787263D-03  2.04771258D-04
    39             11.00 '               na'  0.000   6   -2.60507178D+03  1.71419244D+03 -4.50632658D+02  5.91751503D+01 -3.88164070D+00  1.01752936D-01
    40             11.01 '              na+'  5.139   6   -3.68868193D-06  2.28941495D-06 -5.66767833D-07  6.99552282D-08 -4.30495956D-09  1.05668164D-10
    41             11.02 '             na++' 47.286   6    8.07571327D+01 -4.59044171D+01  1.04582805D+01 -1.17649896D+00  6.56479680D-02 -1.45759319D-03
    42             12.00 '               mg'  0.000   6   -2.36123647D+03  1.53666552D+03 -3.99573894D+02  5.18934127D+01 -3.36616446D+00  8.72505398D-02
    43             12.01 '              mg+'  7.646   6   -4.34874146D+02  2.76201198D+02 -6.99216802D+01  8.83345154D+00 -5.56915833D-01  1.40181117D-02
    44             12.02 '             mg++' 15.035   6    0.00000000D+00 0.0 0.0 0.0 0.0 0.0
    45             13.00 '               al'  0.000   6   -1.66857655D+03  1.07393756D+03 -2.75925311D+02  3.54060738D+01 -2.26875413D+00  5.80737502D-02
    46             13.01 '              al+'  5.986   6   -8.68206246D+02  5.51082021D+02 -1.39651672D+02  1.76615665D+01 -1.11474105D+00  2.80918810D-02
