oh continuous opacity: Kurucz et al 1987, ApJ 322, 992
2.824E-23 (g) molecular weight
Col 1 = photon energy (eV); Col 2-9 = opacity (cm2/g of the molecule): Boltzmann LTE
      1000K    2000K    3000K    4000K    5000K    6000K    7000K    8000K    9000K
 8.5 4.75E+04 4.64E+04 4.60E+04 4.53E+04 4.50E+04 4.43E+04 4.36E+04 4.32E+04 4.25E+04
 8.6 3.86E+04 3.82E+04 3.86E+04 3.90E+04 3.90E+04 3.90E+04 3.86E+04 3.82E+04 3.79E+04
 8.7 3.20E+04 3.23E+04 3.33E+04 3.39E+04 3.44E+04 3.46E+04 3.47E+04 3.47E+04 3.46E+04
 8.8 2.77E+04 2.84E+04 2.96E+04 3.05E+04 3.12E+04 3.17E+04 3.21E+04 3.24E+04 3.26E+04
 8.9 2.57E+04 2.66E+04 2.78E+04 2.89E+04 2.97E+04 3.05E+04 3.11E+04 3.15E+04 3.19E+04
 9.0 2.61E+04 2.68E+04 2.79E+04 2.90E+04 3.00E+04 3.08E+04 3.16E+04 3.21E+04 3.26E+04
 9.1 2.87E+04 2.92E+04 3.01E+04 3.11E+04 3.20E+04 3.29E+04 3.37E+04 3.43E+04 3.48E+04
 9.2 3.32E+04 3.34E+04 3.40E+04 3.49E+04 3.58E+04 3.68E+04 3.75E+04 3.82E+04 3.86E+04
 9.3 3.90E+04 3.90E+04 3.97E+04 4.04E+04 4.11E+04 4.21E+04 4.29E+04 4.32E+04 4.36E+04
 9.4 4.57E+04 4.57E+04 4.60E+04 4.67E+04 4.78E+04 4.85E+04 4.89E+04 4.92E+04 4.96E+04
 9.5 5.24E+04 5.24E+04 5.28E+04 5.38E+04 5.45E+04 5.52E+04 5.56E+04 5.56E+04 5.56E+04
 9.6 5.77E+04 5.81E+04 5.91E+04 6.02E+04 6.13E+04 6.16E+04 6.20E+04 6.20E+04 6.16E+04
 9.7 6.13E+04 6.27E+04 6.45E+04 6.59E+04 6.69E+04 6.73E+04 6.76E+04 6.73E+04 6.69E+04
 9.8 6.34E+04 6.55E+04 6.80E+04 7.01E+04 7.12E+04 7.19E+04 7.19E+04 7.15E+04 7.12E+04
 9.9 6.34E+04 6.69E+04 7.08E+04 7.33E+04 7.47E+04 7.51E+04 7.54E+04 7.51E+04 7.44E+04
