tableu3.dat
  377.942322  33.
  1.  0.
  1.  0.
  3354.91553  20.
  4694.77734  46.
  5719.42188  13.
  6286.38818  9.
  7692.44336  33.
  8645.88477  63.
  9438.5459  27.
  1.  0.
  11948.1182  7.
  12277.627  41.
  13108.5654  18.
  14669.3242  11.
  15008.4336  11.
  1.  0.
  17176.166  18.
  18510.2402  13.
  19658.1582  24.
  20688.7715  13.
  21249.6172  9.
  1.  0.
  23530.9688  11.
  24701.0859  22.
  25551.5977  26.
  1.  0.
  27369.6777  21.
  28511.2871  62.
  29344.9453  48.
  30288.293  13.
  31301.834  27.
  32501.3105  51.
  33622.582  75.
  34650.7266  57.
  35321.4766  63.
  36594.9922  22.
  37767.3945  48.
  38575.4883  77.
  39489.832  120.
  40444.0977  33.
  41343.6484  83.
  42477.7656  80.
  43190.7852  22.
  1.  0.
  1.  0.
  1.  0.
  1.  0.
  1.  0.
  1.  0.

