tableU2.dat
  394.254425  32.
  1749.12305  14.
  2294.69604  12.
  1.  0.
  4569.86475  40.
  5540.17383  68.
  6350.76611  24.
  7391.00684  34.
  8507.5498  132.
  9575.89453  82.
  10531.0117  72.
  11599.4824  134.
  12478.1133  170.
  13496.7031  204.
  14573.0791  170.
  15637.2344  236.
  16548.1992  290.
  17499.7539  212.
  18443.2637  284.
  19482.8223  312.
  20543.6855  306.
  21489.373  212.
  22503.1348  208.
  23461.6523  274.
  24475.8965  302.
  25469.9121  354.
  26522.0488  412.
  27523.4414  388.
  28433.7891  312.
  29516.6855  352.
  30540.8145  480.
  31524.5879  522.
  32428.0781  496.
  33571.7578  540.
  34482.7539  476.
  35488.7383  807.
  36518.1641  798.
  37524.7188  716.
  38457.2422  706.
  39458.6328  648.
  40538.6602  590.
  41508.6055  528.
  42474.8398  346.
  43507.2617  178.
  44506.5938  108.
  45254.7969  48.
  1.  0.
  1.  0.
  1.  0.
  1.  0.

