    306  '             1727.00'  'CoCl' -3.967   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 17 1 27 1
    307  '             1728.00'  'NiCl' -3.820   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 17 1 28 1
    308  '             2835.00'  'NiBr' -3.690   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 28 1 35 1
    309  '             2935.00'  'CuBr' -3.429   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 29 1 35 1
    310  '             2952.00'  'CuTe' -2.350   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 29 1 52 1
    311  '             2953.00'  'CuI' -3.269   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 29 1 53 1
    312  '             3135.00'  'GaBr' -4.310   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 31 1 35 1
    313  '             3153.00'  'GaI' -3.470   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 31 1 53 1
    314  '             3535.00'  'BrBr' -1.971   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 1 35 2
    315  '             3535.01'  'BrBr+'  8.549   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 35 2 99 -1
    316  '              936.01'  'KrF +' -1.580   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 9 1 36 1 99 -1
    317  '             3537.00'  'RbBr' -3.906   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 35 1 37 1
    318  '             3753.00'  'RbI' -3.298   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 37 1 53 1
    319  '              644.00'  'RuC' -6.680   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 6 1 44 1
    320  '             1347.00'  'AgAl' -1.950   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 13 1 47 1
    321  '             3547.00'  'AgBr' -3.100   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 35 1 47 1
    322  '             4753.00'  'AgI' -2.604   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 47 1 53 1
    323  '             3549.00'  'InBr' -3.990   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 35 1 49 1
    324  '             4953.00'  'InI' -3.429   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 49 1 53 1
    325  '             3450.00'  'SnSe' -4.203   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 34 1 50 1
    326  '             5052.00'  'SnTe' -3.690   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 50 1 52 1
    327  '             3452.00'  'TeSe' -2.976   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 34 1 52 1
    328  '             3553.00'  'BrI' -1.818   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 35 1 53 1
    329  '             5454.00'  'XeXe' -0.023   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 1 54 2
    330  '             3555.00'  'CsBr' -4.170   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 35 1 55 1
